country,isoCode,continent,continentCode,year,halfDecade,pandemicPeriod,vehicleType,powertrain,evSales,evSalesShare,evStock,evStockShare,evElectricityDemand,evChargingPoints,chargingPointsPerEv,population,GDP
Australia,AUS,Oceania,OC,2019,2015-2019,Pre-Pandemic,Cars,PHEV,2900.0,0.0,8600.0,0.0,0.0,0.0,0.0825242718446602,25334826.0,1398349602956.35
Australia,AUS,Oceania,OC,2019,2015-2019,Pre-Pandemic,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,1700.0,0.0825242718446602,25334826.0,1398349602956.35
Australia,AUS,Oceania,OC,2020,2020-2023,Pandemic,Cars,BEV,5200.0,0.0,17000.0,0.0,0.0,0.0,0.08518518518518518,25649248.0,1333336461648.09
Australia,AUS,Oceania,OC,2020,2020-2023,Pandemic,Cars,EV,0.0,1.10000002384186,0.0,0.180000007152557,0.0,0.0,0.08518518518518518,25649248.0,1333336461648.09
Australia,AUS,Oceania,OC,2020,2020-2023,Pandemic,Cars,PHEV,1700.0,0.0,10000.0,0.0,0.0,0.0,0.08518518518518518,25649248.0,1333336461648.09
Australia,AUS,Oceania,OC,2020,2020-2023,Pandemic,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,2300.0,0.08518518518518518,25649248.0,1333336461648.09
Australia,AUS,Oceania,OC,2021,2020-2023,Pandemic,Cars,BEV,17000.0,0.0,34000.0,0.0,0.0,0.0,0.04828906835400883,25685412.0,1560617493202.69
Australia,AUS,Oceania,OC,2021,2020-2023,Pandemic,Cars,EV,0.0,2.79999995231628,0.0,0.319999992847443,0.0,0.0,0.04828906835400883,25685412.0,1560617493202.69
Australia,AUS,Oceania,OC,2021,2020-2023,Pandemic,Cars,FCEV,44.0,0.0,44.0,0.0,0.0,0.0,0.04828906835400883,25685412.0,1560617493202.69
Australia,AUS,Oceania,OC,2021,2020-2023,Pandemic,Cars,PHEV,3400.0,0.0,14000.0,0.0,0.0,0.0,0.04828906835400883,25685412.0,1560617493202.69
Australia,AUS,Oceania,OC,2021,2020-2023,Pandemic,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,320.0,0.04828906835400883,25685412.0,1560617493202.69
Australia,AUS,Oceania,OC,2021,2020-2023,Pandemic,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,2000.0,0.04828906835400883,25685412.0,1560617493202.69
Australia,AUS,Oceania,OC,2022,2020-2023,Post-Pandemic,Cars,BEV,33000.0,0.0,67000.0,0.0,0.0,0.0,0.029171396140749147,26018721.0,1695627535475.8
Australia,AUS,Oceania,OC,2022,2020-2023,Post-Pandemic,Cars,EV,0.0,5.09999990463257,0.0,0.589999973773956,0.0,0.0,0.029171396140749147,26018721.0,1695627535475.8
Australia,AUS,Oceania,OC,2022,2020-2023,Post-Pandemic,Cars,FCEV,15.0,0.0,100.0,0.0,0.0,0.0,0.029171396140749147,26018721.0,1695627535475.8
Australia,AUS,Oceania,OC,2022,2020-2023,Post-Pandemic,Cars,PHEV,5900.0,0.0,21000.0,0.0,0.0,0.0,0.029171396140749147,26018721.0,1695627535475.8
Australia,AUS,Oceania,OC,2022,2020-2023,Post-Pandemic,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,470.0,0.029171396140749147,26018721.0,1695627535475.8
